text	TextBlob	OpLexicon
dilma nao pode ganhar nao mano	negativo	neutro
nordestino vota dilma achando nao eleita vao cortar bolsa familia imediatamente vai explicar	neutro	negativo
dilma vai perder segundo turno pro aecio nao quero ver zona vai ficar	negativo	negativo
gente ces sao otario moral votaram aecio agora vai p segundo turno dilma	positivo	positivo
podem pais melhor votam dilma ainda	positivo	positivo
nordestinos votando dilma simplesmente causa reais recebem vao trabalhar parem fazer filho ha excessoes	positivo	negativo
segundo turno dilma nao tera votos marias vao outras muita gente votou nela gracas ibope datafolha	negativo	negativo
assim saude seguranca brasil lamentavel espero melhore dei voto confianca dilma vms ver	positivo	negativo
gnt assim dilma aecio tanto voto outro pais moram brasileiros sao eleitores desses dois ai	positivo	positivo
aff merda dilma ainda ta ganhando povo alienado	positivo	negativo
eleicoes segundo turno vai ser divertido aecio perdendo minas ganhando s dilma ganhando n ne	positivo	positivo
votos brasil pais dilma aecio marina br nu	neutro	neutro
sao paulo rejeitando dilma	neutro	positivo
calma gente nordeste ainda ta dilma forte la	positivo	positivo
marina apoiar aecio desbanca dilma segundo turno apoio	positivo	positivo
gente nao suporto dilma neeeeem vaca tussa povo vota nesse trem tira pro outro ta certo	negativo	positivo
acho melhor voces esperarem pouco quanto dilma aecio ainda falta muita urna nordeste	positivo	positivo
passa ano inteiro reclamando chega hora votar vota dilma	positivo	negativo
povo ta votando dilma agora daqui mes vao estar reclamando porque nao viram mudancas vao tomar meio cu voces	neutro	negativo
nao odeio dilma odeio povo vota nela vao fuder	negativo	negativo
las primeras bocas urnas dan un amplio margen dilma rousseff un estimado patriagrande	positivo	positivo
maranhense n sabe votar td mundo sabe ne surpreendi dino ta ganhando pq dependesse daqui dilma ganhava	positivo	negativo
n possivel q tanta mulher malandro brasil pra ficar votando dilma povo gosta apanhar msm	positivo	positivo
povo nordeste votando forte dilma passa quatro anos tentando ganhar vida outros estados	positivo	positivo
ai vai dilma melhor aecio cala boca vc so anos	positivo	positivo
importa dilma ganhar vai ter copa	positivo	neutro
nao vejo ninguem favor dilma impossivel mulher ta primeiro	negativo	negativo
vai ser lindo povo unido varrendo pt pra bem longe brasil forca vamos comecar tudo pra cima dilma	positivo	positivo
nao sei pior dilma aecio marina	negativo	negativo
dilma ganhar dnv deus ceu vou mudar pro ira pq todo mimimi gigante acordou ainda votam nela meresso	positivo	neutro
q dilma melhor q	positivo	positivo
moiado dilma ganhar hein porra	positivo	neutro
dilma reeleita cade bazuca pra mim derrubar aviao	negativo	negativo
entao quer dizer voces pra rua hoje votaram dilma feat aecio digam ser burro hipocrita	negativo	negativo
brasileiro sempre fala brasil merda quer brasil mude dai hora votar vota dilma tiririca pqp brasil	neutro	negativo
sao todos farinha saco qualquer coisa melhor ver dilma reelegendo chega	positivo	positivo
agora vamos trabalhar convencer pessoal nao votar dilma	neutro	negativo
afff menos pior q dilma	negativo	negativo
voces vao obrigar votar dilma aecio	positivo	negativo
dilma ganhar brasil n vai mudar porra nenhuma	positivo	neutro
falta quarto urnas muitas estados norte sao dilma acredito va cair	positivo	positivo
so vejo muitos leitores aecio menosprezando eleitores marina pode pesar favor dilma cuidado	neutro	positivo
segundavuelta candidato conservador la sorpresa en brasil dilma aecio neves con marina silva	neutro	neutro
to vendo dilma perdendo pro aecio segundo turno nao sei ruim nao	negativo	negativo
porra dilma nao devia ganhar emabiggestfansd	negativo	neutro
dilma aecio turno voto nulo	neutro	negativo
segundo turno dilma aecio maneiro	neutro	positivo
vo embora brasil dilma ganhar dnv	positivo	neutro
serio vei inacreditavel porcentagem tao alta pra dilma	negativo	neutro
prevejo aecio mitando segundo turno acho dificil votou marina querer votar dilma	negativo	negativo
dilma q ferrar pqp odio inflacao controlada desgraca inflacao ta impostos absurdos td mundo rindo	negativo	negativo
onde dilma frente aecio segundo fala serio	negativo	neutro
dilma aecio turno fala serio x	positivo	neutro
nao resta duvidas culpado eleger dilma norte nordeste	neutro	negativo
tia idiota ta feliz porque dilma ta frente pesquisas caralho q trosha	negativo	neutro
discutir pq nordeste norte preferir dilma	neutro	neutro
unica coisa sao paulo bom eleitores sabem votar reprovacao dilma aqui bom	positivo	positivo
povo burro dilma anos pra ohgzuis sera verdade	positivo	negativo
pessoas cabeca pra votar dilma	neutro	negativo
vao obrigar votar dilma gente pfvr ne	neutro	negativo
feia dilma vai ganhar	positivo	neutro
vamos acreditar q pra vira segundo turno aecioconfirma nao vamos deixar dilma destruir pais	negativo	neutro
deve povo votou dilma tava bebado so pode	neutro	negativo
entao ia votar luciana votei dilma p	neutro	negativo
ai pessoa reclama nordeste causa dilma vota tiririca alckmin	neutro	negativo
agora votar n votem dilma pra brasik mudar pt q sair	neutro	negativo
dilma pode ser ruim ainda melhor marina	negativo	neutro
dilma ganhar trem meio dificil talvez porque povo brasileiro literalmente otario	positivo	negativo
ainda vota dilma povo so pode ta cego ne	negativo	neutro
povo brasileiro burro heim reclama dilma ta ganhando reclama q psdb partido ladrao aecio continua	positivo	negativo
porra eleicao acontecido dilma ja ganhando vamos parar acreditar tmblrcozioyewssbdpv	negativo	neutro
problema mental dessas pessoas tao votando dilma puta pariu	negativo	neutro
dilma enfia cu cacete	positivo	negativo
mostre tirar dilma mostre presidente prendeu gente partido	neutro	negativo
alegam dilma ta ruim fica pior brasil ta assim	negativo	negativo
antes tudo disse povo burro vai votar dilma novo olha merda vai dando	negativo	negativo
nao acredito dilma nao pode ganhar nao vei	negativo	neutro
dilma aecio voto nulo	neutro	negativo
dilma n vai ganhar bagaca n	positivo	neutro
povo burro deus aecio dilma vo votar nulo	neutro	negativo
povo inteligente continua dilma falta agua aecio vai faltar pao porque vai roubar tudo euvoteimarina	positivo	neutro
brasileiro burro apessoa ja sabe brasil ta causa dilma assim ta la votando nela tudo bando trouxas	neutro	negativo
dilma frente protestos feitos vao	neutro	negativo
dilma aecio fita ruim dois vao quebrar br	negativo	negativo
dilma ganhar fodeu aecio ganhar tbm fodeu vamos ser fodidos qualquer jeito	positivo	neutro
aecio cinco pontos dilma distante marina grande surpresa dessa eleicao	positivo	negativo
euvoteimarina jeito vai ser aecio dilma triste	neutro	negativo
povo brasileiro burro vai reeleger dilma novo pais nao vai pra frente nunca	negativo	negativo
tb hahahaha mano demencia votar dilma todos protestos ninguem merece pt quatro anos	positivo	negativo
pra ai votou dilma orando voce bater dedinho pe quina mesa	negativo	neutro
vamos ver brasil vez dilema dilma x aecio triste sentindo desperancoso	neutro	negativo
nao pobre morre fome vota dilma partido nocao realidade virara pais aecio	negativo	negativo
recuso acreditar dilma vai ganhar	positivo	neutro
nao votaram dilma pq sao hipocritas votaram nela porque muita muita gente nao rica vai fuder aecio ganhar	positivo	positivo
dilma pimentel vencendo aqui minas gerais onde aecio reinou pq disso dificil imaginar sqn	neutro	negativo
ai cara juro to medo dilma ganhar imagina ganha vai largar voces vao ter engolir tambem nao merecemos	positivo	negativo
dilma aecio nao sei pior	negativo	negativo
dilma marina nao diferenca sao duas monga mandada lula	neutro	positivo
dilma aecio segundo turno olha homem ganhar saio pais	positivo	neutro
dilma ganhar brasileiro vem fazer manifestacao inferninho n pq voces sao lixos todos q tomarem cu	positivo	positivo
brasileiro imbecil ruas ano passado agora votando dilma q fuder	negativo	negativo
dilma aecio marina siga apuracao tempo real globosximdb	positivo	positivo
nao votei apostei amigo marina nao ia pro segundo turno dilma vai ganhar vo ficar rica	positivo	positivo
vc depende bolsa familia vc q votar dilma	neutro	negativo
dilma aecio segundo turno qria star morto	negativo	negativo
brasileiros burros toda roubalheira ainda votam demente dilma merecem sofrer	neutro	negativo
tudo pobre sustentado bolca familia vota dilma	negativo	negativo
to vendo q fdp dilma vai ganhar	positivo	neutro
votou pra marina agora vai votar pra dilma pais vai ficar mesma bosta	negativo	negativo
nao creio matei aula quase preso pra votarem dilma	negativo	negativo
problema povo reclamar dilma votar nela please ne gnt cade carater quer votar nao critica	neutro	negativo
alo voces votaram lulu linda segundo turno votar dilma aecio poder nao amor	positivo	negativo
nesse segundo turno vou apoiar dilma menos mal	negativo	positivo
nego dizia pais acordado votou dilma pais nao dormir	neutro	neutro
nao votar dilma nao vai fazer brasil pais corrupcao	neutro	negativo
dilma reeleita ta amarrado so pode	neutro	negativo
vamo la dilma vence empoeirado ai cacilda	negativo	negativo
sorte marina nao eleitor cativo assim publico apoia dilma independente mesma apoie	positivo	negativo
decadencia brasileira decadencia agora jeito votar dilma	neutro	negativo
df apurado resultado presidencial aecio marina dilma cc	neutro	positivo
ala povo quebrou pais ano passado pra votar dilma novo	positivo	negativo
to tentando entender onde dilma melhor aecio	positivo	positivo
segundo turno voto dilma nulo ainda decidindo	negativo	negativo
mae xingando dilma sozinha voz alta cozinha eh chorar rir ahahaha	negativo	neutro
ja disse dilma ganhar raspo cabeca novo bem ja ia fazer qualquer jeito v	positivo	neutro
quero ver vcs votando dilma indo protestar rua contra partido cu rola	neutro	negativo
ai bom ver q so diferenca dilma aecio	negativo	positivo
turno vou votar dilma foda todos voces	negativo	negativo
bonito dilma ganha primeiro turno	positivo	positivo
pra votou dilma desejo anos caganeira viauma cidada inteligente	positivo	positivo
marina passou tempo todo guerra dilma entao eh quase certo q vai apoiar aecio segundo turno	positivo	positivo
q putaria n acredito q dilma vai ganhar	positivo	neutro
dilma ganhar mudo	positivo	neutro
gente dilma nao pode ganhar segundo turno pfvr	negativo	neutro
dilma ganhando povo brasileiro burro mermo viu	positivo	negativo
dilma ganhar vai ser comprovacao brasileiro burro so fala fala fala nao bosta nenhuma atitude	positivo	negativo
dilma ganhar ph nao votar atoa	positivo	negativo
eleicao dilmapravencer vai ter segundo turno vamos manter cabeca lugar dizia filosofo fazer votar dilma	negativo	negativo
dilma x aecio neves proximo pesquisas diziam tempo tv igual bombas	positivo	neutro
prepara dilma cu nao sera perdoado	neutro	neutro
brasil inteiro diferenca dilma aecio so otimo	positivo	positivo
brasil pobre metade usa bolsa familia dilma vai ganhar	positivo	negativo
pra mim nao importa passe pro segundo turno desde dilma nao ganhe quero brasil melhor dane partido	negativo	neutro
so peco coisa dilma novo nao amor deus	positivo	negativo
dilma n sabe governar aecio riquinho metido marina radicalista pulso p ordenar resto eh resto	negativo	negativo
dilma x aecio segundo turno votar nesta porra	negativo	negativo
sobre turno dilma aecio so coisa dizer povo brasil burro	negativo	negativo
dilma aecio ganhar enfio buraco so saio proxima eleicao emabiggestfansd	positivo	neutro
gente vcs sao retardado ne vai fazer protesto p mudar pais vai la reelege dilma	negativo	positivo
apuracao tempo real rj dilma lugar urnas apuradas placareleicoesuolbrturnorj apuracao estado eleicoes	positivo	positivo
dilma aecio ganhando to feliz	positivo	positivo
povo quer pais melhor continua votando dilma zzzzz	positivo	positivo
serio marina nao ta pouco perto dilma	negativo	neutro
dilma serio brasil pqp	negativo	neutro
quero gritar quero balancar bandeira quero implorar votos pra dilma segundo turno nao to bem	negativo	positivo
gnt vcs sao mt trouxas anos dilma governo gnt sofrendo vcs ainda votam nessa mulher novo credo	positivo	positivo
melhor tou dilma aecio nao penso duas vezes campeao engulo dilmao forma x	positivo	positivo
dilma cativo milhoes votos bolsa familia muitos estao milhoes votos nordeste	positivo	negativo
estoy seguro q dilma es lela	positivo	positivo
misericordia dilma n pode ganhar nao	negativo	neutro
dilma ganhar brasil ja khfekoierrgjj amo nao morar brasil	positivo	neutro
dilma ganhar ai vou ter plena certeza povo brasileiro povo burro	positivo	negativo
dilma frente brasileiro sao cuzero msm	neutro	positivo
so diferenca dilma aecio to medo ganhar segundo turno vou tomar cu	negativo	neutro
impressionante crescimento aecio neves ultima semana eleicao vai forte turno contra presidente dilma rousseff	positivo	positivo
ta claro dilma ganhar vai continuar sendo tudo jeito bosta	positivo	neutro
marina apoiar aecio desbanca dilma segundo turno	positivo	positivo
migas ce vcs acham realmente aecio dilma sao mesma coisa blz mores n precisa votar	positivo	neutro
gente repito vc depende fies vc q votar dilma	neutro	negativo
dilma vai ganhar novo toma cu merda	positivo	neutro
dilma ganhar eleicoes vou la brasilia arrancar piru	positivo	neutro
votou dilma merece poste meio cu porque hora vaiar estadio todo mundo soube hora votar direito nao	positivo	negativo
nao gosto aecio dilma qualquer melhor dilma entao to torcendo pra	positivo	positivo
vao fuder vcs q votaram dilma	negativo	negativo
sao paulo massacre aecio quase soma dilma marina ai institutos	neutro	positivo
presidente dilma aecio marina luciana ovotonaabsurda vivo portalaabsurdatv	neutro	positivo
bleh vai aecio dilma pro segundo turno gigante super acordou	positivo	neutro
aqui ta apurado dilma aecio marina	neutro	positivo
aecio colado dilma diria bem dilma reeleita aecio nao capaz vencer segundo turno lixo msm	positivo	neutro
dilma aecio recuso escolher pq sao duas bosta incapaz ver menos pior	negativo	negativo
vou rir demais voces sendo obrigados votar dilma segundo turno	negativo	negativo
menos collor nao atrapalhado governo dilma pior heloisa helena mto pior	negativo	negativo
dilma aecio pra buscar legal segundo turno simmmmm	positivo	positivo
nao quer dilma governo ta lado aecio eita povo votou dilma burro	negativo	negativo
pessoa vota quiser mano quiser vota dilma vota vao fude	positivo	negativo
aecio ganhando disparado dilma sao paulo luciana genro sao paulo perto	positivo	positivo
nao consigo acreditar tudo ano passado dilma primeiro nao rola assim povo	positivo	negativo
nao to acreditando dilma vai ganhar fim brasil vai comecar pensar direito	positivo	neutro
aparentemente vai ficar dilma aecio vai ficar sujo mal lavado	negativo	neutro
luciana genro votos sabia vcs iam votar dilma	neutro	negativo
mato grosso aecio dilma marina comecou gente	neutro	neutro
aecio ganha pobre todo mundo vai ficar ladrao bem dilma	positivo	negativo
povo brasileiro burro demais vai pras ruas protestas contra dilma chega eleicao vota nela vai entender	positivo	negativo
segundo turno vai ser duro pra dilma aecio politico desde tava saco pai dentro saco vo	negativo	negativo
dilma aecio morro nao entendo aecio tao querido mpn luan	negativo	positivo
engracado pessoas pra rua manifestar contra governo votando dilma heeheehu	positivo	positivo
votou dilma mt idiota pq nao fez nada ate hj nao vai ser daqui pra frente q vai fazer	negativo	negativo
primeiro lugar ta dilma rousseff voces merecem sofrer	positivo	neutro
nao entendo nego falando vai votar dilma	neutro	negativo
brasil mt pobre porq dilma chorar	negativo	negativo
qualquer melhor q dilma n vou aguentar mulher anos mandando nesse carai n	positivo	positivo
marina ir turno so vota dilma beneficios nao sao bestas idiotas marinaneles	negativo	positivo
publico manifestacoes nao maioria hora votar ta fera quer tirar dilma ok pra botar mudar pra pior	positivo	negativo
querem saber pq brasil nao vai pra frente vcs sao burros votam dilma dps querem explicacao antas	negativo	positivo
antes votar mim q dilma ne pessoal fala serio	neutro	negativo
nao aguento dilma entao ganha aecio favor brasil unica pessoa p votar ne	positivo	negativo
sairam nacionais votos apurado diferenca dilma aecio	neutro	positivo
bom dois irem pro turno senao marina ganha porque votou dilma nao votaria aecio vice versa	positivo	positivo
puta merda aecio ta frente marina soube votade nele inves marina pra ganhar dilma	positivo	neutro
sera voce frequentou aulas historia nao dilma criou bolsa familia nao favor direito	negativo	neutro
dilma frente mg sempre sera algo engracado	positivo	positivo
aecio ja tirou dilma antes primeiro turno tempo igual tv nao segura corrupcao vai bater forte	negativo	positivo
boa dilma aecio ganhar brasil tomar bunda	positivo	neutro
forninho vai cair segura dilma	positivo	positivo
considerando piso minimo pt caso desastre supremo torno uns dilma ta bem baixa	neutro	neutro
dilma vai ganhar puta pariu problema voces	positivo	neutro
dilma ganhar pais vai agua abaixo	positivo	neutro
dilma nv ja vou fazer evento face p gigante acorda poa uhul	neutro	neutro
apurado dilma aecio marina podemos ainda ter esperanca	neutro	positivo
aecio so diferenca dilma velho nao posso acreditar coisa linda	positivo	neutro
impressionado nao marina menos dilma pesquisas nao mostravam	positivo	neutro
dilma ganhar vou arrastar bunda daqui ate colegio amanha	positivo	neutro
tl ta contra dilma vota acho nao necessario dizer nada	positivo	neutro
qualquer coisa melhor dilma	positivo	positivo
dilma vs aecio segundo turno ainda nao decido melhor pior dilma vs marina	negativo	neutro
deixem ser ridiculos merda desse pais dilma aecio compara melhor faz diferenca	negativo	positivo
segundo turno marina vai apoiar aecio quero ver restar algo dilma	neutro	positivo
adiantou vem pra rua ano passado povo brasileiro capaz ser idiota suficiente votar dilma novamente	negativo	negativo
aecio ganhar vai ser ruim dilma ganhar vai ser ruim puta pariu	positivo	negativo
aecio dilma menos pior	negativo	negativo
vai ser dificil pra dilma assim lula ninguem esperava diferenca pequena pt psdb	negativo	negativo
dilma roubou gente melhor la infelizmente melhor opcao gnt	positivo	positivo
dilma aecio turno vai so aecio pq marina vai apoiar aecio	neutro	positivo
onde parar odio mortal brasil inteiro dilma juro nao entendo cara	neutro	negativo
dilma aecio vao fazer segundo turno emocionante	positivo	negativo
sabe gosto gente vota branco nulo pq fala nao vota dilma jeito nenhum ta sertinho	neutro	negativo
wouuu aun con el mundial igual va dilma xdddd	neutro	neutro
dilma frente aecio neves minas gerais fez governo tao bom pq nao venceu proprio estado eleicoes	positivo	positivo
dilma aecio marina atletico cruzeiro	positivo	positivo
apuracao nacional urnas dilma aecio marina institutos sao vergonha	positivo	positivo
dilma segundo turno ave povo burro fod r vida	negativo	negativo
bom depende ponto vista mim dilma otima presidente	positivo	positivo
nao dilma estar ganhando todo mundo reclama nao ta certo	positivo	positivo
brasil dilma calar boca	neutro	negativo
dilma ganhando aecio mg engracado nao acha deus mg	positivo	positivo
jesus amado dergraca dilma nao pode ganhar	positivo	positivo
ai pai rt apurado todo brasil dilma aecio marina	neutro	positivo
voces lessem saissem redes sociais iam ver cagadas dilma fez nesse pais puf povo burro	positivo	negativo
postou vemprarua ano passado votou dilma	neutro	negativo
basta manter hoje ganhar pouco pra ganhar dilma	positivo	neutro
tudo uns babaca votaram dilma pf	neutro	negativo
tudo der certo dilma ganhaaaa lol	positivo	positivo
boa q rolar cpi institutos pesquisa diferenca dilma aecio primeiro turno vao todos tomar cus	positivo	negativo
gente aecio dilma nao quero nenhum brasil bosta dnv talvez pior	negativo	negativo
po dilma n pode ganhar	negativo	neutro
brasileiros q urnas pedidos mudancas votaram dilma sinto dizer q voces sao vergonha brasil euvoteimarina	neutro	positivo
dilma ta frente ainda amiga calma ainda chance	positivo	positivo
espero sim grande parte desses vai votar dilma	positivo	negativo
n sei pior dilma aecio	negativo	negativo
engracado redes sociais vemos dilma afins agora vemos resultado confuso	positivo	neutro
dilma ganhar vou pra europa	positivo	neutro
dilma om aecio taca pauuuuuuuuuunice im single sexy	positivo	positivo
nao sei dizer gente prefere reeleger dilma vez votar aecio gente voces sao nojentos	negativo	neutro
dilma aecio votos vai ganhar marina precisamos vc ibope lixo data folha lixo	positivo	neutro
reclamam reclamam votam dilma vao tomar cu	neutro	negativo
bom nao apoiei momento algum agora pra mim tudo menos dilma	neutro	positivo
dilma tomando rabo aecio encostado hahahahaha besta porraaaa	positivo	negativo
dilma ta ganhando naoooo brasileiros sao retardados neh	negativo	positivo
dilma aecio serio	positivo	neutro
cara assim dilma ta lideranca enquanto nao pra acreditar povo foradilma	neutro	neutro
tempo real tse urnas apuradas dilma aecio marina	positivo	positivo
duvida segundo turno dilma nulo	negativo	negativo
dilma vai ganhar novo fica vendo	positivo	neutro
gnt dilma ganhar proibo vcs reclamar alguma coisa aecio ganhar entao ai fodeu tudo	negativo	neutro
dilma ta ganhando fala serio	negativo	neutro
apuracao parcial terrivel aecio ta so pontos abaixo dilma	negativo	negativo
cobeduacnews dilma rousseff el objetivo es mantener al partido los abces googl	neutro	negativo
nao jeito dilma sempre ira ganhar nordeste peso so dar pt	positivo	neutro
assim dilma ganhar pq aecio pensar	positivo	neutro
pq pessoas votam dilma todos protestos meio ano maluco af povo gostaaaaaa	negativo	negativo
gente dilma nao pode ganhar caralho	negativo	neutro
segundo turno vou votar dilma dor coracao pt lixooooo infelizmente concurseira nao votar psdb	negativo	negativo
dilma ganhar quero mudar brasil	positivo	neutro
aecio bem melhor esperado visto dilma nao caiu parece pessoal resolveu antecipar segundo turno	positivo	positivo
adiantou toda greve julho pra votar dilma	neutro	negativo
falam povo protestou nao votou dilma esquecem grande maioria brasil sao pobres favorecidos	positivo	positivo
ibope crlh todos sabem maioria nao vai votar dilma controlam sociedade brasileira prisioneiros	positivo	negativo
aecio pior dilma pilantra	negativo	negativo
pqp nao acredito dilma vai ganhar pqp pqp pqp pqp pqp pqp pqp pqp	positivo	neutro
segundo turno aecio dilma debate vai ser bom demais humilhada basica dilma nunca demais	positivo	positivo
quero povo vote aecio atropele dilma aqui sp apanhou feio amei otimo	positivo	neutro
surpresa diferenca pontos dilma aecio faltando pouco apuracao final gente achando aecio bobo	negativo	negativo
turno dilma fantoche barbudo x aecio aspirador neves nulo merda x esgoto desisto dessa eleicao	neutro	negativo
dilma ganhar pq negocio voto furada pq brasileiro trouxa gosta foder	negativo	neutro
dilma aecio marina siga apuracao tempo real globosximdb	positivo	positivo
parem reclamar dilma voces estao focando odio voces pessoa errada partido errado acordem pra vida	negativo	negativo
dilma er crlh povo burro prr	negativo	negativo
engracado tambem pessoal surpreso dilma frente aecio mggente so nao ve nao quer	positivo	positivo
apurado dilma aecio marina luciana	positivo	positivo
ouvi justificativa voto pra dilma medo perder bolsa faculdade	neutro	negativo
ai vc ve q merece todo mundo foder nesse pais pq so votou melhor candidata maioria dilma dnv twitterotpvagabastat us	positivo	positivo
gigante acordou pra votar dilma novo melhor ficar dormindo msm	positivo	neutro
tanto falou p votar p mudar pais ces vao la votam dilma uu	positivo	negativo
vejo dilma ta ganhando pergunto pra onde milhoes pessoas protestos ano passado	positivo	negativo
milhares pessoas ai votaram dilma apenas medo perder bolsa familia	neutro	negativo
hahahahahah chupa dilma vai perder segundo turno	negativo	negativo
voces acham alguem votou marina vai votar dilma agora caceta caralho	neutro	negativo
cara nrml povo brasileiro idiota assim ainda estao votando dilma	negativo	negativo
pqp cara segundo turno dilma aecio preferiria votar diva meier	neutro	negativo
cara serio dilma ganhar	positivo	neutro
caralho porra brasileiro burro dilma ta ganhando dilma fodeu brasil fizeram	negativo	negativo
votacao aecio bem proxima dilma ibope errando feio segundo turno sangrento	negativo	negativo
eita porra povo vemprarua ano passado votaram dilma	neutro	negativo
dilma perder vou ter q volta pro rio	neutro	negativo
pode cara ninguem viu toda roubalheira nesse governo ridiculo dilma	negativo	negativo
ligo dilma perder turno contra aecio importante marina ser humilhada vagabunda indecisa q n opiniao propria	positivo	negativo
dilma n pode ganhar n fi	negativo	neutro
nao pra acreditar ainda tudo gente q vota dilma	neutro	neutro
votos apurados dilma possui aecio marina ibope errando feio	negativo	negativo
triste marina agora ferrou segundo turno indecisao dilma x aecio	negativo	negativo
olha pode nao ser tao bom pq alias nenhum politico melhor dilma entao cala boca	positivo	positivo
povo brasileiro trouxa fazem protestos raio parta vao la votam dilma novo olha deixar fodam	negativo	negativo
voces votar dilma vejam desastre redacoes ensino medio	neutro	negativo
porem acho muuuito bizarro vcs falando nao sei daonde votos dilma nao conheco ninguem vote nela	neutro	negativo
nao acredito ainda gente votando dilma todas manifestacoes serio vcs sao otario	negativo	positivo
votar marina nao dilma aecio haha	neutro	negativo
gnt falando vai votar dilma segundo turno glr deem unfollow nao mereco ver vcs fazendo cagada antecipada	negativo	negativo
falem quiserem melhor dilma ganhe fique assim aecio dai deixar pais pior	positivo	neutro
povo tudo burro votar dilma i mpn luan	negativo	negativo
dilma ganhar mg ta engracado	positivo	positivo
dilma ganha facil aecio	positivo	positivo
dilma aecio melhor anular euvoteimarina	positivo	neutro
dilma aecio marina to completamente morto	positivo	negativo
apuracao tempo real rs dilma lugar urnas apuradas placareleicoesuolbrturnors apuracao estado eleicoes	positivo	positivo
daqui pouco vao falar mal dilma agora tao votando nela merdas vcs porra poder maos n fazem nd	negativo	negativo
vai dar aecio porra pt dilma dentuca carlaho filha puta vai roubar cu lula caralho	negativo	negativo
antes votar mim q dilma ne pessoal fala serio	negativo	negativo
pqp dilma aecio assim votou dilma so pode ser retardado boa	positivo	positivo
cabra bom voto aecio milhoes dilma milhoes votos apurados	positivo	positivo
dilma quase amazonas vcs sao mt engracados olha	positivo	positivo
confirmar distancia dilma aecio disputa abertissima segundo turno deve bater recorde mundial chorume	negativo	neutro
pessoal mt chato falando d politica ah dilma ta ganhando mimimi brasil n vai p frente mimimi vao fuder chatos caralho	negativo	neutro
velho vontade desistir brasil pessoas coragem votar dilma dps tudo vergonha	positivo	negativo
pessoa protesta ano inteiro vai pras ruas cartaz crls joga pedra queima onibus p eleicoes votar dilma doenca	positivo	negativo
krlh vadia dilma ganhar novo vai ser sacanagem	positivo	neutro
passa cabeca alguem votar dilma gente ja vimos brasil nao vai pra frente liga	neutro	negativo
boa pergunta rt dilma frente aecio neves minas gerais fez governo tao bom pq nao venceu mg eleicoes	positivo	positivo
dilma vai ganhar aecio vai terminar dilmapravencer	positivo	neutro
so observo pessoal diz nao pra votar dilma ai voce pergunta resposta	neutro	negativo
apuracao tempo real dilma lugar urnas apuradas placareleicoesuolbrturnopr eleicoes	positivo	positivo
dilma aecio neves marina silva sao urnas apuradas	neutro	positivo
medo privatizar coisas sei la vai voto confianca ne dilma ja ta melhor	positivo	positivo
reclamar dilma vai levar belo vai fuder pra casa	positivo	positivo
dilma aecio vao segundo turno marina silva luciana genro	neutro	negativo
ano passado tava achando top balada ser jovem apoiar protestos hoje votou dilma ta serto	positivo	neutro
dilma vai foder legal segundo turno	negativo	positivo
problema deixa jeito q ta ta bostaaaa aaaa ate ruim ver dilma ganhando q q gente faz ne	negativo	negativo
q saiba manifestacoes ano passado nao contra dilma unica exclusivamente sim contra todos administram pais	neutro	negativo
marina ja entregado votos pro aerso ha alguns dias enfim dilma vao sair tapa atras desses votos	negativo	negativo
coitados acham aecio poder vencer dilma segundo turno	positivo	negativo
dilma eleger so digo coisa errar humano cometer erro vezes burrice	negativo	positivo
cheguei raxa fiquei feliz noticia dilma estar frente haha	positivo	positivo
vcs sao tao cegos mano vota dilma aecio	negativo	positivo
dilma n vai ganhar	positivo	neutro
dilma ganhar vai ser maior roubo	positivo	neutro
diz burrice votar dilma vota lasier	negativo	negativo
dilma aecio segura nabo	neutro	negativo
sinceramente qualquer ali vai roubar dilma aecio marina qualquer ali	positivo	negativo
vai dilma nao votei perder voto	neutro	negativo
mae votou dilma pq primo fez aposta pra ganhar reais pt ganhar q porra caralho pensar melhor br ngm pensa	positivo	positivo
povo curte sofrer helder eder mauro dilma	neutro	neutro
apurado todo brasil dilma aecio marina	neutro	positivo
dilma ganhar roubo	positivo	neutro
dilma ganha aq minas causa bolsa familia regiao pobre sao municipios eleicoes	positivo	neutro
dilma frente pais hipocrita	neutro	negativo
conociendo todo dilma rousseff el objetivo es mantener al partido los abces owlyodg	neutro	negativo
cs sao mto otarioooooo dilma reeleita ah boa	negativo	positivo
dilma ganhar vou pra londres saio pais vendo pra turquia	neutro	neutro
apurado urnas presidente turno dilma rousseff aecio neves vao disputar	neutro	neutro
adorando segundo turno dilma aecio	positivo	positivo
vamo viradona aecio galera hora fazer revolucao derrubar ditadura comunista brasil dilma leve pt vc	neutro	negativo
dilma aceito chupa pt	negativo	positivo
dilma x aecio familia vai votar aecio nao	neutro	negativo
estado sao paulo nacional dilma aecio	neutro	positivo
nao es espantado supremacia aecio parana aqui curitiba votar dilma sinonimo piada	negativo	negativo
primeiro lugar ta dilma rousseff voces merecem sofrer	positivo	neutro
atencao boca urna presidente brasil dilma aecio sao finalistas leia numeros dilma pt	neutro	positivo
cidadao posta foto manifestacoes ano passado diz fizeram pra votar dilma ja sei burro	negativo	negativo
torco fervorosamente todos ficam vou pra outro pais dilma ganhar ditadura comunista cumpram promessa	neutro	neutro
voces sao tudo uns fdp ficam falanfo mal dilma ainda votam nela	neutro	positivo
infeliz dilma vai ganhar puta pariu viu povo vota nela devia ter vergonha cara foradilma forapt	positivo	negativo
voces estao elegendo dilma novo vao foder	negativo	negativo
